,79.78,9052,-192,11372
242356,79.78,9136,-228,11380
242373,79.80,9076,-252,11568
242390,79.39,9064,-256,11284
242407,79.80,8992,-300,11336
242424,79.78,8884,-432,11364
242441,80.19,8936,-400,11640
242458,79.39,8988,-372,11176
242475,79.40,8988,-356,11452
242492,79.82,9124,-236,11348
242509,79.80,9064,-292,11360
242526,79.39,9040,-296,11324
242543,79.82,9172,-280,11560
242560,79.35,9124,-276,11320
242577,79.80,9008,-288,11452
242594,79.37,8896,-364,11540
242611,79.37,9012,-320,11452
242628,79.78,9008,-292,11688
242645,79.78,8872,-284,11568
242662,80.18,9080,-284,11816
242679,80.59,9048,-316,11656
242696,80.57,8944,-384,11720
242713,79.70,8828,-912,11460
242730,79.68,9348,-192,11340
242747,79.63,8596,-1084,13020
242764,80.06,6284,1660,7768
242781,80.00,9624,60,9520
242798,79.52,6408,424,9556
242815,80.35,4884,-352,10560
242832,79.01,5128,-780,10592
242849,79.27,4284,-288,10876
242866,78.67,6296,-628,10152
242883,78.43,5160,-776,12688
242900,78.55,5036,-476,11764
242917,78.24,5724,-584,11752
242934,78.24,5192,-396,12184
242951,77.83,4956,-660,12452
242968,76.92,6220,-420,11516
242985,76.39,4596,-812,11308
243002,75.75,5112,-536,10932
243019,74.69,4996,-288,10392
243036,74.84,4496,-752,11296
243052,74.09,5608,-392,10724
243068,74.23,4332,-844,11508
243084,72.18,6084,108,11008
243100,70.95,4172,-688,12328
243116,70.88,6444,16,10148
243132,69.53,4936,-728,11724
243148,69.05,4856,-96,10228
243164,68.03,5484,-428,11944
243180,66.58,6080,-472,11532
243196,65.94,6008,-340,10732
243212,64.81,6288,-576,12168
243228,64.12,5972,-556,11596
243244,62.12,5620,-260,11796
243260,60.44,6352,-248,11716
243276,59.18,5204,-412,12364
243292,57.85,6216,-444,11364
243307,56.90,5820,-456,11860
243322,56.05,5792,-68,11520
243337,55.99,5576,4,11544
243352,55.48,5776,-88,11612
243367,54.09,5124,196,11716
243382,53.58,5468,-140,11712
243397,53.49,5696,-532,12012
243412,51.69,5160,-476,11420
243427,45.62,5192,-596,11800
243442,44.57,5640,-500,11668
243457,42.24,5620,-452,11784
243471,39.05,5556,-484,12220
243485,37.20,5552,-472,11844
243499,36.15,5680,-328,12276
243513,34.73,5716,-276,12148
243527,33.20,5600,-100,12056
243541,32.10,5528,-124,12032
243555,30.10,5952,-76,11424
243569,28.55,5660,-276,12052
243583,26.96,5680,-328,12080
243597,25.33,5692,-432,12096
243611,24.13,5428,-200,11992
243624,22.02,5428,-600,12392
243637,20.44,5588,-532,12336
243650,18.85,5924,-484,11696
243663,17.25,6104,-552,12316
243676,15.61,5836,-360,12676
243689,13.50,6020,-32,12576
243702,12.28,6188,-164,12492
243715,10.17,5884,-244,11672
243728,8.88,6876,-316,11880
243741,6.72,6868,-432,11632
243753,4.61,7832,-1356,12856
243765,3.69,32767,-1916,-2228
243777,3.64,32767,31400,32767
243789,4.20,10448,2432,25080
243801,4.15,32767,-2964,-18668
243813,4.15,-9204,-1132,11268
243825,4.58,-11096,-2364,3976
243837,5.28,-9640,1840,-1044
